text_id	text	task_1	task_2	task_3
hasoc_en_1	dhonikeepstheglove watch sports minister kiren rijiju issues statement backing ms dhoni over balidaan badge, tells bcci to take up the matter with icc and keep government in the know as nations pride is involved	NOT	NONE	NONE
hasoc_en_2	no. we should remember very clearly that individual1 just admitted to treason . trumpisatraitor mccainsahero johnmccainday	HOF	HATE	TIN
hasoc_en_3	guess who would be the winner of this cwc19? team who gets maximum points from the abandoned matches shameonicc wivseng	NOT	NONE	NONE
hasoc_en_4	corbyn is too politically intellectual for borisjohnsonshouldnotbepm cant wait generalelectionnow	NOT	NONE	NONE
hasoc_en_5	all the best to teamindia for another swimming competition on sunday against pakistan. indvpak shameonicc cwc19 cwc19rains	NOT	NONE	NONE
hasoc_en_6	i hope you remembered to wipe the blood off of you, after the pic was taken. bloodonhishands murderer	NOT	NONE	NONE
hasoc_en_7	latest design of wc2019 trophy. cwc2019 cwc19 shameonicc	NOT	NONE	NONE
hasoc_en_8	ados trendingnow blacklivesmatter justice fucktrump central park five prosecutor elizabeth lederer out at columbia law school	HOF	PRFN	TIN
hasoc_en_9	thanks for your support! wow 600k. graffiti has a massive impact nowadays, do not forget to show your own opinion! allcolorsarebeautiful powertothepeople fuckracism fucktrump makelovenotwar	NOT	NONE	NONE
hasoc_en_10	by wearing the balidaanbadge over his gloves has shown his love amp respect for the forces. should understand that this is not related to any politicalreligiousracial activities this is about our nationalpride dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_11	mahendra singh dhonis love for the nation, armed forces and soldiers has been intact which is truly commendable. he is nations hero. no one represents our country better than him. i stand with dhonikeepstheglove dhonikesaathdesh indiawithdhoni	NOT	NONE	NONE
hasoc_en_12	i dont know how much more i can take! 45 is a compulsive liar! trump30hours trumpisatraitor	HOF	HATE	TIN
hasoc_en_13	shameonicc winner teamrain icc run up teamrain icc man of the matchrain icc man of the seriesrain best bowlerrain best wicketkeperrain	NOT	NONE	NONE
hasoc_en_14	grevious assault on jr doctors in all medical colleges in wb. no action being taken for safety security and justice. pm sir please intervene asap. savethedoctors doctorsfightback	NOT	NONE	NONE
hasoc_en_15	icc denies request from bcci to allow msd wear gloves with army insignia. dhonikeeptheglove dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_16	good work keep going just destroy the whole fucking world cup shameonicc	HOF	PRFN	TIN
hasoc_en_17	wow, youre full of it borisjohnsonshouldnotbepm kickthemout	NOT	NONE	NONE
hasoc_en_18	all indian spectators shd hv balidanbadge in ground, dhonikeepstheglove dhonikeepbalidaanbadgeglove dhonikeepstheglove dhonikesathdesh	NOT	NONE	NONE
hasoc_en_19	what about virat kholi tattoos dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_20	which is more important? indiawithdhoni dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_21	is gonna crash. douchebag	NOT	NONE	NONE
hasoc_en_22	harbor n bay mens boxer short pack of 2 rs.299 doctorsfightback savebengal amazon flipkart deals dealoftheday amazingdeals offers discount jaishreeram modiforall	NOT	NONE	NONE
hasoc_en_23	icc turns down bccis request to allow to continue wearing the army insignia on his wicketkeeping gloves icc says regulations for icc events do not permit any individual message or logo to be displayed on any items of clothing or equipment. dhonikeepstheglove	NOT	NONE	NONE
hasoc_en_24	shameonicc 1. icc on dhonis gloves vs 2.icc planning the world cup	HOF	HATE	TIN
hasoc_en_25	senior doctors of rgkar greeted with applause amp ovation by juniordoctors after they came back submitting resignation. hear them. this is not orchestrated. this is not paid stunt. these are docs massresigning in protest. doctorsfightback savethedoctors istandwithnrs	NOT	NONE	NONE
hasoc_en_26	empty podiums make too much noise toryleadershipdebate ukpm borisjohnsonshouldnotbepm leadersdebate gtto jc4pm2019 frightnight	NOT	NONE	NONE
hasoc_en_27	shameonicc iccworldcup2019 world cup reality	NOT	NONE	NONE
hasoc_en_28	disgusting! and they dont change their culture or come up with vetting system or preventative ways to stop this from occurring. this will continue to happen. the catholic church needs to go! rapist childtrafficking catholicchurch catholictwitter	HOF	HATE	TIN
hasoc_en_29	goqii vital colour display blood pressure monitor rs.1999 mrp3499 doctorsfightback savebengal amazon flipkart deals dealoftheday amazingdeals offers discount jaishreeram modiforall	NOT	NONE	NONE
hasoc_en_30	500 doctors have already resigned in bengal. nrs 100 sskm 175 national medical college 20 rg kar 126 north bengal college 119 murshidabad 50 rampurhat 37 burdwan 26 doctorsfightback savethedoctors	NOT	NONE	NONE
hasoc_en_31	hi everyone, im in kolkata and just thought id let you know about some crazy goings on in the medical world here, which has become front page news. recent years have seen a rise in violence against doctors, often the most junior. doctorsfightback	NOT	NONE	NONE
hasoc_en_32	worst ever world cup arrangement in cricket history shameonicc shameonengland wc2019 no swimming pool, gym in hotel. englishbeggers royalbeggers	NOT	NONE	NONE
hasoc_en_33	fuck you and go fuck yourself you piece of shit someone get this asshole a jail cell for his birthday impeachtrumpnow fucktrump dickstaindonald derangeddonald	HOF	PRFN	TIN
hasoc_en_34	donald trump lies. trumpisatraitor happy johnmccainday !	NOT	NONE	NONE
hasoc_en_35	of all the retired nfl players, why is it that you dont suffer from cte? you should be at the bottom of a pool you mistook for an elevator. murderer	HOF	HATE	TIN
hasoc_en_36	the telegraphs use of the word crown with regard to boris johnson just says it all. borisjohnsonshouldnotbepm	NOT	NONE	NONE
hasoc_en_37	doctorsfightback no doctor wishes to stop emergency services dr sayantan banerjee, resident doctor, aiims relative of assaulted dr paribaha mukherjee	NOT	NONE	NONE
hasoc_en_38	no worries because there will be on only one winner and that is . . . . . . . . . . . . . . . rains shameonicc . . . .	NOT	NONE	NONE
hasoc_en_39	will score a 100 again today? predict and win prizes. indvaus dhonikeepstheglove dhoniatcwc19	NOT	NONE	NONE
hasoc_en_40	dont support a country who has concentration camps againts small etnich groups and religions dont support the violencie and discrimination humanrights boycottchina stopracismo diversity china endhate stopviolence	NOT	NONE	NONE
hasoc_en_41	dhonikeepstheglove you are zero without dhoni like captain,person...	NOT	NONE	NONE
hasoc_en_42	for interest of puplic she is speaking doctorsfightback doctors mamatabanarjee	NOT	NONE	NONE
hasoc_en_43	now if all remaining matches will get washed nz 12 ind 11 eng 10 aus 10 wi 9 sl 9 pak 9 ban 8 sa 6 afg 6 semis aus vs nz if rain doesnt stop nz eng vs ind if rain doesnt stop ind final ind vs nz if rain doesnt stop nz india will win shameonicc	NOT	NONE	NONE
hasoc_en_44	this crazy manbaby will probably paint it gold. not gawdy at all. ihate45 worstpresidentever weaselheadedfucknugget shutyourshithole fucktrump yousuck liarinchief noclass moron ridusofthisdisease unfollowtrump	HOF	PRFN	TIN
hasoc_en_45	this is everything. fucktrump	HOF	PRFN	TIN
hasoc_en_46	where were the ima amp other associations when doctors were being hounded for a year after brdoxygentragedy without any fault of their own? doctors need to stand up with each other, no matter who the assaulter is and who is in power doctorsfightback doctorsprotest	NOT	NONE	NONE
hasoc_en_47	hey trump ! these lovely ladies got something to tell ya .... fucktrump	HOF	PRFN	TIN
hasoc_en_48	i love this bill, i think they should start printing them fucktrump	HOF	PRFN	TIN
hasoc_en_49	so basically hes not vegan dickhead	HOF	PRFN	TIN
hasoc_en_50	the world will rejoice when you die. murderer classless	HOF	OFFN	TIN
hasoc_en_51	acoustic amp electric guitar kits from rs.1699 guitars amp other musical instruments upto 75 off doctorsfightback savebengal amazon flipkart deals dealoftheday amazingdeals offers discount jaishreeram modiforall	NOT	NONE	NONE
hasoc_en_52	maybe should take his lips off your ass, read the report, and get with the dems and everyone else with half a brain and get you out of the white house! pospotus asskissers impeachtrump fucktrump butnotliterallylindsey	HOF	PRFN	TIN
hasoc_en_53	this ruling sends a clear message that muslim voices will not be silenced by threats and hate. via helped represent mr. obeidallah. antimuslim islamophobia justice	NOT	NONE	NONE
hasoc_en_54	50c to 70c avg. temp in siachen, in wintersavg. people feel cold 15c in such skull freezing envrmnt indianarmy protect us but people like kanahiya kumar referred indianarmy as rapist and supports who abuses and throw stones at indianarmy	NOT	NONE	NONE
hasoc_en_55	mamta ji pls dont drag muslims in this case no one said they wont treat any particular religion i am a muslim pls stop speculating situation based on religion stop playing bloody politics mamtabanerjee doctorsfightback india westbengal trinamool	NOT	NONE	NONE
hasoc_en_56	are you watching, johnson? borisjohnson borisjohnsonshouldnotbepm incompetent	NOT	NONE	NONE
hasoc_en_57	well come to new pakistan with new rates budget2019 ptigovernment imranhataomulkbachao	NOT	NONE	NONE
hasoc_en_58	just this t.r.u.m.p is ... good! he should be! trumpisatraitor	NOT	NONE	NONE
hasoc_en_59	just going to leave this here keep your eyes and mind open to how the media portray people and remember, question everything leadersdebate borisjohnsonshouldnotbepm	NOT	NONE	NONE
hasoc_en_60	all the best to teamindia for another swimming competition on sunday against india pakistan. indvpak shameonicc cwc19 cwc19rains	NOT	NONE	NONE
hasoc_en_61	unisex anti trump af tshirt in extended sizes small up to 5x fucktrump antitrump votebluenomatterwho	NOT	NONE	NONE
hasoc_en_62	this world cup 19 should be ban !! rain rain rain motherfuckerr icc shift this world to another country or ban this world cup 19 shameonicc	HOF	PRFN	TIN
hasoc_en_63	learn how to cover up the ground shameonicc	NOT	NONE	NONE
hasoc_en_64	lmao at the shoelifts, girdlebutt stance. pathetic. but fucktrump for the vomitus of lies he spews and crimes he commits	HOF	PRFN	TIN
hasoc_en_65	we have waited 4 years to see the world cup matches, not the rain. if this continues it will be very disappointing for all the fans.shameonicc	NOT	NONE	NONE
hasoc_en_66	gee... where have we seen this before? fucktrump impeachdonaldtrumpnow leaked docs reveal russian effort to exert influence in africa	NOT	NONE	NONE
hasoc_en_67	sarah sanders is floating the idea of running for arkansas governor, sources say resist resisttrump fucktrump	NOT	NONE	NONE
